Sparte,Monat,Umsatz,Veraederung zum Vorjahr
Gaststaettengewerbe,Juli,92.4,-17.6
Gaststaettengewerbe,August,94.1,-17.9
Gaststaettengewerbe,September,88.1,-17.8
Gaststaettengewerbe,Oktober,...,...
Gaststaettengewerbe,November,...,...
Gaststaettengewerbe,Dezember,...,...
Gastgewerbe,Januar,87.3,1.6
Gastgewerbe,Februar,89.2,1.8
Gastgewerbe,März,54.7,-45.1
Gastgewerbe,April,25.4,-74.9
Gastgewerbe,Mai,40.1,-63.4
Gastgewerbe,Juni,65.7,-41.2
Gastgewerbe,Juli,84.4,-24.7
Gastgewerbe,August,89.5,-20.8
Gastgewerbe,September,87,-23.7
Gastgewerbe,Oktober,...,...
Gastgewerbe,November,...,...
Gastgewerbe,Dezember,...,...
