date,beherbergungU,beherbergungB,gastronomieU,gastronomieB
2020/01/01,-1.2,0.3,3.3,1.9
2020/02/01,2.9,0.2,1.3,1.7
2020/03/01,-49.8,-5.0,-42.5,-5.8
2020/04/01,-86.9,-22.3,-68.1,-24.9
2020/05/01,-78.9,-22.0,-54.2,-22.2
2020/06/01,-51.5,-17.2,-35.1,-19.3
2020/07/01,-28.9,-14.6,-22.2,-16.3
2020/08/01,-20.7,-13.3,-20.8,-15.3
2020/09/01,-27.3,-12.8,-21.3,-14.5
2020/10/01,0.0,0.0,0.0,0.0
2020/11/01,0.0,0.0,0.0,0.0
2020/12/01,0.0,0.0,0.0,0.0
